week rank,song,artist,lyrics,slang
16,Lose You To Love Me,Selena Gomez,"Lose You To Love Me Lyrics[Verse 1]
You promised the world and I fell for it
I put you first and you adored it
Set fires to my forest
And you let it burn
Sang off-key in my chorus
'Cause it wasn't yours
I saw the signs and I ignored it
Rose-colored glasses all distorted
Set fire to my purpose
And I let it burn
You got off on the hurtin'
When it wasn't yours, yeah

[Pre-Chorus]
We'd always go into it blindly
I needed to lose you to find me
This dancing was killing me softly
I needed to hate you to love me, yeah

[Chorus]
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me
[Verse 2]
I gave my all and they all know it
Then you tore me down and now it's showing
In two months, you replaced us
Like it was easy
Made me think I deserved it
In the thick of healing, yeah

[Pre-Chorus]
We'd always go into it blindly
I needed to lose you to find me
This dancing was killing me softly
I needed to hate you to love me, yeah

[Chorus]
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me

[Bridge]
You promised the world and I fell for it
I put you first and you adored it
Set fires to my forest
And you let it burn
Sang off-key in my chorus
[Chorus]
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to hate you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me
To love, love, yeah
To love, love, yeah
To love, yeah

[Outro]
And now the chapter is closed and done
To love, love, yeah
To love, love, yeah
To love, yeah
And now it's goodbye, it's goodbye for us110Embed",
38,Lost in the Fire,Gesaffelstein,"Lost in the Fire Lyrics[Verse 1]
I wanna fuck you slow with the lights on (Lights on, lights on, lights on)
You're the only one I've got my sights on (Sights on, sights on, sights on)
Type of sex you could never put a price on (Price on, price on, price on)
I'll take it off, you're the one I'll roll the dice on (Dice on, dice on, dice on)
And I just want a baby with the right one
(I just want a baby with the right—)
'Cause I could never be the one to hide one
(I could never be the one to hide—)

[Pre-Chorus]
And we lost a lot of things in the fire
So it took a year for me to find out (Find out, find out)

[Chorus]
I can't lose you, babe (I can't lose you)
I can't lose you, babe (I can't lose you, babe)
I can't lose you, babe (I can't lose you, babe)
Oh-oh (Oh-oh)
I can't lose you, babe (I can't lose you)
I can't lose you, babe (I can't lose you, babe)
I can't lose you, babe
Oh-oh (Yeah)

[Verse 2]
I'm tired of being home alone (Home alone)
I used to have a girl a day (Girl a day)
But I want you to stay (I want you to stay, hey)
You said you might be into girls (Into girls)
Said you're going through a phase (Through a phase)
Keeping your heart safe (Keepin' your heart safe, oh)
Well, baby, you can bring a friend (Bring a friend)
She can ride on top your face (Top your face)
While I fuck you straight (While I fuck you straight, yeah)
[Pre-Chorus]
And we lost a lot of things in the fire (Fire)
So it took a year for me to find out (Find out, find out)

[Chorus]
I can't lose you, babe (I can't lose you)
I can't lose you, babe (I can't lose you, babe)
I can't lose you, babe (I can't lose you, babe)
Oh-oh (Oh-oh, oh-oh)
I can't lose you, babe (I can't lose you)
I can't lose you, babe (I can't lose you, babe)
I can't lose you, babe (I can't lose you, babe)
Oh-oh (Woah)

[Bridge]
I'm tired of being home alone
Used to have a girl a day (Girl a day)
But I want you to stay (I want you to stay, hey)

[Chorus]
I can't lose you, babe (I can't lose you)
I can't lose you, babe (I can't lose you, babe)
I can't lose you, babe (I can't lose you, babe)
Oh-oh (Oh-oh, oh-oh, oh-oh, oh-oh)
Ooh, ooh-ooh-ooh (Oh-oh, oh-oh, oh-oh)
I can't lose you, babe (I can't lose you)
I can't lose you, babe (I can't lose you, babe)
I can't lose you, babe (I can't lose you, babe)
Oh-oh (Oh-oh, oh-oh, oh-oh, oh-oh)
[Outro]
Ooh89Embed","af  , af  , "
37,Lost in the Woods,Jonathan Groff,"Lost in the Woods Lyrics[Verse 1: Kristoff]
Again, you're gone
Off on a different path than mine
I'm left behind
Wondering if I should follow
You had to go
And, of course, it's always fine
I probably could catch up with you tomorrow

[Pre-Chorus: Kristoff]
But is this what it feels like
To be growing apart?
When did I become the one
Who's always chasing your heart?

[Chorus 1: Kristoff]
Now I turn around and find
I am lost in the woods
North is south, right is left
When you're gone
I'm the one who sees you home
But now I'm lost in the woods
And I don't know what path you are on
I'm lost in the woods

[Verse 2: Kristoff]
Up 'til now
The next step was a question of how
I never thought it was a question of whether
Who am I, if I'm not your guy?
Where am I, if we're not together
Forever?
[Chorus 2: Kristoff]
Now I know you're my true north
'Cause I am lost in the woods
Up is down, day is night
When you're not there
Oh, you're my only landmark
So I'm lost in the woods
Wondering if you still care

[Bridge: Kristoff & Reindeer]
But I'll wait
For a sign (For a sign)
That I'm your path
'Cause you are mine (You are mine)
'Til then
I'm lost in the woods

[Outro: Kristoff & Reindeer]
Lost in the woods (Lost, lost)
In the woods, in the woods (Lost in the woods)
I'm lost in the woods
Lost in the woods (Lost, lost)
(Lost)
I'm lost in the woods7Embed",
39,Love Affair,UMI,"Love Affair Lyrics[Verse 1]
You and I, baby
Maybe we can ride away, baby
And I just wanna get inside, baby
But I don't wanna wait forever
Scared that I can't treat you better than her

[Pre-Chorus]
So when I'm gonna know what to feel inside, baby?
Maybe it's just all in my head, so

[Chorus]
Don’t overthink, this is love
Maybe it's just a crush
Baby, is this your love affair, your love affair?
I hope what I feel is enough
Maybe this is just lust
Baby, is this your love affair, your love affair? Yeah

[Verse 2]
I wanna know
I wanna know how to feel, what to feel, what's right
I never know
'Cause when it gets real, I just run away and hide from you
From you
From you, ooh, ooh
[Pre-Chorus]
So when I'm gonna know what to feel inside, baby?
Maybe it's just all in my head, so

[Chorus]
Don't overthink, this is love
Maybe it’s just a crush
Baby, is this your love affair, your love affair?
I hope what I feel is enough
Maybe this is just lust
Baby, is this your love affair, your love affair? Yeah

[Bridge]
And I just want a good time
But am I wrong for that? No
Am I wrong for that? No, no, yeah
And is it not the right time?
But what's the wrong in that, oh?
Am I wrong for that? No, no, so

[Chorus]
Don't overthink, this is love
Maybe it’s just a crush
Baby, is this your love affair, your love affair?
I hope what I feel is enough
Maybe this is just lust
Baby, is this your love affair, your love affair? Yeah17Embed","bet , af  , af  , af  , af  , af  , af  , af  , af  , af  , af  , af  , af  , af  , "
49,Love Has Won,Citizen Way,"Love Has Won Lyrics[Intro]
Ooh-ooh-ooh

[Verse 1]
This is a song for the hurting
I hope that it helps you to heal
This is a song when the worst of the worst
Is all that you can feel
This is a song for the lonely
If you've lost someone you can't live without
A song for the souls that are searching
And hearts that are broken down
Sing with me now
Sing with me now

[Chorus]
Hallelujah, love has won (Ooh)
Hallelujah, love has won
God is with us
Thank You, Jesus
Though the battle rages on
Hallelujah, love has won

[Turnaround]
Hey-yeah-yeah
[Verse 2]
Sometimes it feels like it's hopeless
It's a war just to hang by a thread
Sometimes on this side of heaven
Oh it just doesn't make sense
And that's why He gave us this family
With a promise that nothing can break
That one day we'll all be together
And the devil can't take that away
Oh so don't be afraid
He's already conquered the grave

[Chorus]
Hallelujah, love has won (Ooh)
Hallelujah, love has won
God is with us
Thank You, Jesus
Though the battle rages on
Hallelujah, love has won

[Bridge]
Oh can you hear the angels sing
Death is dead, we're finally free

[Interlude]
How sweet the sound
How sweet, how sweet
All creation will bow
And we'll sing...
[Chorus]
Hallelujah, love has won (Ooh)
Hallelujah, love has won
God is with us
Thank You, Jesus
Though the battle rages on
Hallelujah, love has won

[Outro]
This is a song for the hurting
I hope that it helps you to healEmbed","af  , "
42,Love Me,Lil Tecca,"Love Me Lyrics[Pre-Chorus]
Yeah, I know you see the drip and you like it
Wanna text me, but your pride tryna fight it
I know you young, chasin' love, tryna find it
Then I saw you at a party, started wildin'

[Chorus]
I want you, so do you want me?
If I said I love you, would you love me?
I could never dub you, but could you dub me?
I don't wanna fall in love, I don't think it's for me
Hope you know I want you, so do you want me?
If I said I love you, would you love me?
I could never dub you, but could you dub me?
I don't wanna fall in love, I don't think it's for me

[Verse]
I ain't no regular nigga
When we pull up to the party, man, the party get bigger
And she fuckin' with Lil Tecca 'cause she know I'm a winner
I pray to God every day, but I know I'm a sinner
More money, more problems, and the bitches get thicker
Deep throat, shootin' like a free throw
Shawty, she a freak ho, that's my line
Yeah, I want a shawty right now, I know you might now
But I ain't tryna waste no time
She know I'm too wavy
Yeah, I'm that nigga, you cannot replace me
As soon as I met you, you said you wan' date me
I can't say I'm loyal, for you? Baby, maybe
These niggas they hate me 'cause they mad they ain't me
So much hoes around me, I'm getting so lazy
I fuck with you, baby, as long as you make me
Sooner or later, I'll make you my baby
Sooner or later, I'll make you my baby
[Pre-Chorus]
Yeah, I know you see the drip and you like it
Wanna text me, but your pride tryna fight it
I know you young, chasin' love, tryna find it
Then I saw you at a party, started wildin'

[Chorus]
Hope you know I want you, so do you want me?
If I said I love you, would you love me?
I could never dub you, but could you dub me?
I don't wanna fall in love, I don't think it's for me
Hope you know I want you, so do you want me?
If I said I love you, would you love me?
I could never dub you, but could you dub me?
I don't wanna fall in love, I don't think it's for me

[Outro]
I don't think it's for me
I don't think it's for me
I don't think it's for me
I don't think it's for me26Embed",
25,Love Me More,Trippie Redd,"Love Me More Lyrics[Intro]
Internet Money, bitch
Hahahaha, Nick, you're stupid

[Chorus]
I wish that you would love me (Love me)
I wish that you would love me more
Nobody else but me (But me)
Like, shawty, what you asking for? (Yeah)
And lil' bitch, I'm right here, ayy
Like, shawty, what you looking for? Yay, yay
I ain't goin', uh, I ain't goin' away
Like, shawty, right there, right there, ayy (Yeah)
Nobody can compare, can compare
I know it ain't fair (Ain't fair), ain't fair (Yeah)
All mine (Yeah), all (Yeah, huh)

[Verse]
You're all mine (You're all mine), all of mine (All of mine, yeah)
Callin' and brawlin' all the time (All the time, yeah)
Fallin' in love when it all ain't right (All ain't right, yeah)
Crawlin' in my arms when you cry (When you cry)
I don't wanna love, I don't wanna fuck with you
Shawty, keep my love, shawty, keep my love with you (Shawty, yeah)
I know that I'm stuck, I know that I'm stuck with you (Yeah-ah-ah-ah)
Yeah, and I know that's the issue, oh
[Chorus]
I wish that you would love me (Love me)
I wish that you would love me more
Nobody else but me (But me)
Like, shawty, what you asking for? (Yeah)
And lil' bitch, I'm right here, ayy
Like, shawty, what you looking for? Yay, yay
I ain't goin', uh, I ain't goin' away
Like, shawty, right there, right there, ayy (Yeah)
Nobody can compare, can compare
I know it ain't fair (Ain't fair), ain't fair (Yeah)
All mine, all

[Outro]
I don't wanna love, I don't wanna fuck with you
Shawty, keep my love, shawty, keep my love with you (Shawty, yeah)
I know that I'm stuck, I know that I'm stuck with you (Yeah-ah-ah-ah)
Yeah, and I know that's the issue, oh27Embed",
1,Love Songs,Kaash Paige,"Love Songs Lyrics[Verse 1]
I miss my cocoa butter kisses, hope you smile when you listen
Ain't no competition, just competin' for attention
And you like, ""I'm not on no games""
Well, baby, I been peepin', and you ain't been the same
Like, who been on your mind? Who got your time?
Who you been vibin' with and why I can't make you mine?
You used to be texting me, checking me, calling me your slime
And now you treat me like my worth less than a dime

[Chorus]
And if we paint a perfect picture, we can make it last forever
And you the only one I want to wear my orange sweater
I told you I am down for the worse or the better
But I keep sticking to you 'cause them four stupid letters
You got me singing love songs (Love songs, love songs)
You got me singing love songs (Love songs, love songs)
You got me singing love songs (Love songs, love songs)
You got me singing love songs (Love songs, love songs)

[Verse 2]
You got me singing love songs
Oh, this the type of song you tip on four fours and pour up song
Yeah, that make you fall in love song
That ""Hey, bighead, what you on?"" Make you hit me up song
Double cupped, but bae, I'm leaning on you
You been playing games, I'm tryna make you my boo
I don't duck no action, you bust one and I bust two
Pills of satisfaction, I take the red, you pop the blue
[Chorus]
And if we paint a perfect picture, we can make it last forever
And you the only one I want to wear my orange sweater
I told you I am down for the worse or the better
But I keep sticking to you 'cause them four stupid letters
You got me singing love songs (Love songs, love songs)
You got me singing love songs (Love songs, love songs)
You got me singing love songs (Love songs, love songs)
You got me singing love songs (Love songs, love songs)47Embed","bet , bet , "
18,Lovebug,Jonas Brothers,"Lovebug Lyrics[Verse 1: Nick Jonas]
Called you for the first time yesterday
Finally found the missing part of me
I felt so close, but you were far away
Left me without anything to say

[Chorus: Joe Jonas with Nick Jonas]
Now I'm speechless
Over the edge, I'm just breathless
I never thought that I'd catch this lovebug again
Hopeless, head over heels in the moment
I never thought that I'd get hit by this lovebug again

[Verse 2: Nick Jonas & Joe Jonas]
I can't get your smile out of my mind
(I can't get you out of my mind)
I think about your eyes all the time
You're beautiful, but you don't even try
(You don't even, don't even try)
Modesty is just so hard to find

[Chorus: Joe Jonas & Nick Jonas]
Now I'm speechless
Over the edge, I'm just breathless
I never thought that I'd catch this lovebug again
Hopeless, head over heels in the moment
I never thought that I'd get hit by this lovebug again
[Bridge: Joe Jonas with Nick Jonas]
I kissed her for the first time yesterday
Everything I wished that it would be
Suddenly I forgot how to speak
Hopeless, breathless, baby, can't you see?
Now I'm—
Yeah, oh!

[Chorus: Joe Jonas]
Now I'm speechless
Over the edge, I'm just breathless
I never thought that I'd catch this lovebug again
Now I'm hopeless, head over heels in the moment
I never thought that I'd get hit by this lovebug again

[Outro: Joe Jonas with Nick Jonas]
Oh, lovebug again10Embed",
48,Loved by a Country Boy,Trea Landon,"Loved By A Country Boy LyricsHave you ever had your heartbeat
Skipping  like a rock on the water?
Have  you ever felt a July kiss?

Make summer burn a little hotter
Have you ever fell faster than a Chevrolet
Rollin'  'round the bend?
Left  a t-shirt hanging on a hickory limb 'fore you jumped in

Girl you ain't been loved, 'til you been loved by a country boy
Bet  you never felt nothin' like that no
Girl you ain't been loved, 'til you been loved by a country boy
Steal your heart and won't give it back
Don't you want that love?
Come  and get this love baby
Girl you ain't been loved, 'til you been loved by a country boy
Loved by a country boy yeah

Have you ever layed down on a blanket
Underneath the harvest moon?
Looked up at a shooting star yeah
And knew a wish was made on you?
How 'bout a little dirt road ride?
How 'bout a little dancing on my hood?
Ain't talkin' 'bout good enough no
I'm talkin' 'bout so damn good
Girl you ain't been loved, 'til you been loved by a country boy
Bet you never felt nothin' like that no
Girl you ain't been loved, 'til you been loved by a country boy
Steal your heart and won't give it back
But don't you want that love?
Come and get this love baby
Well girl you ain't been loved, 'til you been loved by a country boy
Loved by a country boy

Girl you ain't been loved, 'til you been loved by a country boy
Bet you never felt nothin' like that no
Girl you ain't been loved, 'til you been loved by a country boy
Steal your heart and won't give it back
But don't you want that love?
Come and get this love baby
Girl you ain't been loved, 'til you been loved by a country boy
'Til you been loved by a country boy
Loved by a country boy2Embed","bet , bet , bet , lit  , lit  , lit  , tea  , tea  , tea  , "
21,Lovestained,Hope Tala,"Lovestained Lyrics[Intro]
I’ll make it better for you
I-I’ll, I’ll make it better for you
I-I’ll, I’ll make it better for you

[Verse 1]
I’ll make it better
I’ll make it better
You never have to worry about me
I’ll make it better
Baby, there’s no pressure
This love is made for us, you’ll see

[Pre-Chorus]
Fruit gets ripe and it’s love
Bite and angels sing up above
It’s never enough just to say you’re lovestained
Fruit gets ripe and it’s love
Bite and angels like to get rough
Tooth and nail when it gets too much
You need to make me lovestained
You need to make me lovestained

[Chorus]
I’ll make it better for you
I-I’ll, I’ll make it better for you
I-I’ll, I’ll make it better for you
You need to make me lovestained
[Verse 2]
Slipping back into happiness
'Cause you give me more time
To live a life that sings like mine
You make me drowsy with delight
And I’m slipping back into feeling blessed
'Cause you are so damn fine
And I’ll skip into the sunlight with you
And skip back at midnight

[Chorus]
I’ll make it better for you
I-I’ll, I’ll make it better for you
I-I’ll, I’ll make it better for you
You need to make me lovestained
I’ll make it better for you
I-I’ll, I’ll make it better for you
I-I’ll, I’ll make it better for you
You need to make me lovestained

[Outro]
You need to, you need to
You need to make me love stained
Ah-ah-ah, ah-ah, ah
You need to make me love stained7Embed","bet , bet , bet , bet , bet , bet , bet , bet , bet , bet , bet , bet , bet , bet , bet , "
10,Lucid Dreams,Juice WRLD,"Lucid Dreams Lyrics[Intro]
Enviyon on the mix
No, no, no, no
No-no, no, no, no
No, no, no, no, no
No, no, no, no

[Chorus]
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me

[Verse]
You left me falling and landing inside my grave
I know that you want me dead
I take prescriptions to make me feel a-okay
I know it's all in my head
I have these lucid dreams where I can't move a thing
Thinking of you in my bed
You were my everything
Thoughts of a wedding ring
Now I'm just better off dead (Uh, uh, uh)
I'll do it over again
I didn't want it to end
I watch it blow in the wind
I should've listened to my friends
Leave this shit in the past, but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
You gave me a heart that was full of mistakes
I gave you my heart and you made heartbreak
[Bridge]
You made my heart break
You made my heart ache (I still see your shadows in my room)
You made my heart break
You made my heart ache (Can't take back the love that I gave you)
You made my heart break (Were made outta plastic, fake)
You made my heart ache (I still see your shadows in my room)
You made my heart break again (I was tangled up in your drastic ways)
(Who knew evil girls had the prettiest face?)

[Chorus]
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
[Outro]
Leave this shit in the past, but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
Easier said than done, I thought you were—
—instead of my head
You found another— better one
I won't let you forget me498Embed","bet , bet , bet , bet , bet , bet , tea  , tea  , tea  , tea  , tea  , "
50,Mad Love,Mabel,"Mad Love Lyrics[Verse 1]
Boy, you lookin' like my type
But tell me, can you hit it right?
'Cause if I let you in tonight
You better put it do-do-down, do-do-down
Now we're through with all the talk
I ain't playing anymore
You heard me when I said before
You better put it do-do-down, do-do-down

[Pre-Chorus]
Made me say
You know what I like, like, like, like
Come put your body on mine, mine, mine, mine
Keep it up all night, night, night, night
Don't let me down, do-do-down

[Chorus]
All night, give me mad love
All night, give me mad love
All night, give me mad love
Yeah, don't let me down, do-do-down
All night, give me mad love (Give me mad love)
All night, give me mad love (Give me mad love)
All night, give me mad love (Give me mad love)
Yeah, don't let me down, do-do-down
[Verse 2]
You come over, we could chill
Tell each other how we feel
But, babe, you know I love the thrill
When you put it do-do-down, do-do-down
I'm alright on my own
But with you, I'm in the zone
One shot, don't let it go
You better put it do-do-down, do-do-down

[Pre-Chorus]
Made me say
You know what I like, like, like, like
Come put your body on mine, mine, mine, mine
Keep it up all night, night, night, night
Don't let me down, do-do-down

[Chorus]
All night, give me mad love
All night, give me mad love
All night, give me mad love
Yeah, don't let me down, do-do-down
All night, give me mad love (Give me mad love)
All night, give me mad love (Give me mad love)
All night, give me mad love (Give me mad love)
Yeah, don't let me down, do-do-down
[Bridge]
If I back up, can you handle?
Get it all night, give me mad love
Don't be too nice, better man up
No, don't let me down, do-do-down
If I back up, can you handle?
Get it all night, give me mad love
Don't be too nice, better man up
No, don't let me down, do-do-down

[Chorus]
All night, give me mad love
All night, give me mad love
All night, give me mad love
Yeah, don't let me down, do-do-down
All night, give me mad love (Give me mad love)
All night, give me mad love (Give me mad love)
All night, give me mad love (Give me mad love)
Yeah, don't let me down, do-do-down

[Outro]
Made me say
You know what I like, like, like, like
Come put your body on mine, mine, mine, mine
Keep it up all night, night, night, night
Don't let me down, do-do-down
If I back up, can you handle?
(You know what I like, like, like, like)
Get it all night, give me mad love
(Come with your body on mine, mine, mine, mine)
Don't be too nice, better man up
(Keep it up all night, night, night, night)
No, don't let me down, do-do-down10Embed","bet , bet , bet , bet , bet , bet , "
46,Make It Right ,BTS,"Make It Right Lyrics[방탄소년단 ""Make It Right"" 가사]

[Verse 1: V, Jimin]
내가 날 눈치챘던 순간
떠나야만 했어
난 찾아내야 했어
All day, all night
사막과 바다들을 건너
넓고 넓은 세계를
헤매어 다녔어
Baby, I

[Refrain: Jung Kook, V]
I could make it better
I could hold you tighter
그 먼 길 위에서
Oh you're the light
초대받지 못한
환영받지 못한
나를 알아줬던 단 한 사람

[Pre-Chorus: Jung Kook, Jin, Jimin]
끝도 보이지 않던 영원의 밤
내게 아침을 선물한 건 너야
이제 그 손 내가 잡아도 될까
Oh-oh, I can make it right
[Chorus: Jung Kook & Jimin, Jung Kook, Jimin & V]
All right
All right
Oh-oh, I can make it right
All right
All right
Oh-oh, I can make it right

[Verse 2: j-hope]
이 세상 속에 영웅이 된 나
나를 찾는 큰 환호와
내 손, 트로피와 금빛 마이크
All day, everywhere
But 모든 게 너에게 닿기 위함인 걸
내 여정의 답인 걸
널 찾기 위해 노래해
Baby, to you

[Verse 3: RM]
전보다 조금 더 커진 키에
좀 더 단단해진 목소리에
모든 건 네게 돌아가기 위해
이제 너라는 지도를 활짝 펼칠게
My rehab
날 봐 왜 못 알아봐
남들의 아우성 따위 나 듣고 싶지 않아
너의 향기는 여전히 나를 꿰뚫어 무너뜨려
되돌아가자 그때로
[Refrain: Jin, Jimin]
Baby, I know
I can make it better
I can hold you tighter
그 모든 길은 널
향한 거야
다 소용없었어
너 아닌 다른 건
그때처럼 날 어루만져줘

[Pre-Chorus: Jung Kook, Jin, Jimin]
끝도 보이지 않던 영원의 밤
내게 아침을 선물한 건 너야
이제 그 손 내가 잡아도 될까
Oh-oh, I can make it right

[Chorus: Jung Kook & Jimin, Jung Kook, Jimin & V]
All right
All right
Oh-oh, I can make it right
All right
All right
Oh-oh, I can make it right

[Bridge: SUGA]
여전히 아름다운 너
그날의 그때처럼 말없이 그냥 날 안아줘
지옥에서 내가 살아 남은 건
날 위했던 게 아닌 되려 너를 위한 거란 걸
안다면 주저 말고 please save my life
너 없이 헤쳐왔던 사막 위는 목말라
그러니 어서 빨리 날 잡아줘
너 없는 바다는 결국 사막과 같을 거란 걸 알아
[Chorus: Jimin, Jung Kook]
All right
I can make it better
I can hold you tighter
Oh-oh, I can make it right
다 소용없었어
너 아닌 다른 건
Oh-oh, I can make it right

[Outro: Jung Kook, Jimin, V]
All right
All right
Oh-oh, I can make it right14Embed","bet , bet , bet , "
31,Make Me Want To,Jimmie Allen,"Make Me Want To Lyrics[Verse 1]
Long legs, cut off jeans
Pulling me in like a magnet
Your eyes locked on me
I knew right then I had to have you

[Pre-Chorus 1]
Right here in the middle of the floor
Of this hole-in-the-wall on a back street
I knew I had to get close to you

[Chorus]
Girl what's your name, what you drinking?
Yeah what's your favorite song?
If you're thinking what I'm thinking
We ain't gonna be in this bar too long
We'll be sneaking on out to your car
Stealing kisses out there in the dark
Yeah it might be too soon to say I love you
But you're gonna make me want to

[Verse 2]
Soft hands touching on me
Lighting me up like a bonfire
Your lips are making me think
This is gonna be an all-nighter
[Pre-Chorus 2]
Right here in the middle of the crowd
You're the center of the world on a barstool
Oh yeah I had to get close to you, girl

[Chorus]
Girl what's your name, what you drinking?
Yeah what's your favorite song?
If you're thinking what I'm thinking
We ain't gonna be in this bar too long
We'll be sneaking on out to your car
Stealing kisses out there in the dark
Yeah it might be too soon to say I love you
But you're gonna make me want to

[Bridge]
Yeah
We'll be sneaking on out to your car, car, car
Stealing kisses out there in the dark, dark, dark

[Chorus]
Girl what's your name, what you drinking?
Yeah what's your favorite song?
If you're thinking what I'm thinking
We ain't gonna be in this bar too long
We'll be sneaking on out to your car
Stealing kisses out there in the dark
Yeah it might be too soon to say I love you
But you're gonna make me want to
[Outro]
You're gonna make me want to
You're gonna make me want to, girl
You're gonna make me want to, want to
I want you1Embed","tea  , tea  , tea  , tea  , "
38,Make No Sense,YoungBoy Never Broke Again,"Make No Sense Lyrics[Intro]
Buddah Bless this beat

[Chorus]
I feel like I'm Gucci Mane in 2006
All these diamonds dancing on my fucking neck cost like four bricks
And the way that I be toting on that strap don’t make no sense
He a million dollar nigga but be posted in the bricks, uh
It make no sense, yeah, it make no sense, uh
It make no sense, goddamn, make no sense, yeah, uh
Make no sense, nah, uh, make no sense, YoungBoy
Make no sense, nah, it make no sense, slime

[Verse 1]
I could hit it, I could whip it, I could bag it, I could stash it
I could trap out like a motherfucker
And you know me, bitch, I just bought another 30 burner (30 burner)
I whip too hard, so I got Ike and Meech, got Tina Turner (Whippin' hard)
It don't make sense, I’m not alright, bitch, I'll put you under
I ain't cut too much, I got that shit that make 'em tweak like damn
Can't be in front the trap too much, the world know who I am (I am)
This shit ain't sweet, who close to me, I see 'em hatin' like damn
All I know get the money, still gon’ be the one to slay ’em
Like nigga, uh, nigga
Nigga, bitch, nigga, baow, with my jewelry (Fuck a jury)
[Chorus]
I feel like I'm Gucci Mane in 2006
All these diamonds dancing on my fucking neck cost like four bricks
And the way that I be toting on that strap don’t make no sense
He a million dollar nigga but be posted in the bricks, uh
It make no sense, yeah, it make no sense, uh
It make no sense, goddamn, make no sense, yeah, uh
Make no sense, nah, uh, make no sense, YoungBoy
Make no sense, nah, it make no sense, slime

[Verse 2]
4KTrey, BoB, I been that, bitch, you notice me
Tell them niggas I say fuck 'em
These hoes ain't shit, they want my cash, so I'll never love ’em (Stupid bitch)
I flash and beat a nigga ass with this fifty ball (I don't need no clique)
On TV, I could tell my youngin hit him with the cutter (Motherfuck a nigga)
That's a bar, real nigga blessed him with that bar and he say yeah-eah
He out the H, you play, he shoot you in your face (Northside)
Bullets flying, back to back, bitch, when we ride
I'm convicted, but it's an issue, I'll slide for a slide
Die today, bitch, they say four pussy niggas died 'fore I died, slime

[Chorus]
I feel like I'm Gucci Mane in 2006
All these diamonds dancing on my fucking neck cost like four bricks
And the way that I be toting on that strap don't make no sense
He a million dollar nigga but be posted in the bricks, uh
It make no sense, yeah, it make no sense, uh
It make no sense, goddamn, make no sense, yeah, uh
Make no sense, nah, uh, make no sense, YoungBoy
Make no sense, nah, it make no sense, slime55Embed","gucci  , gucci  , gucci  , "
34,Make You Mine,PUBLIC,"Make You Mine Lyrics[Verse 1]
Well, I will call you darlin' and everything will be okay
'Cause I know that I am yours and you are mine
Doesn't matter anyway
In the night, we'll take a walk, it's nothin' funny
Just to talk

[Chorus]
Put your hand in mine
You know that I want to be with you all the time
You know that I won't stop until I make you mine
You know that I won't stop until I make you mine
Until I make you mine

[Verse 2]
Well, I have called you darlin' and I'll say it again, again
So kiss me 'til I'm sorry, babe, that you are gone and I'm a mess
And I'll hurt you and you'll hurt me and we'll say things we can't repeat

[Chorus]
Put your hand in mine
You know that I want to be with you all the time
You know that I won't stop until I make you mine
You know that I won't stop until I make you mine
Until I make you mine
[Bridge]
You need to know
We'll take it slow
I miss you so
We'll take it slow
It's hard to feel you slipping (You need to know)
Through my fingers are so numb (We'll take it slow)
And how was I supposed to know (I miss you so)
That you were not the one?

[Chorus]
Put your hand in mine
You know that I want to be with you all the time
You know that I won't stop until I make you mine
You know that I won't stop until I make you mine
Until I make you mine
Put your hand in mine
You know that I want to be with you all the time
Oh darlin', darlin', baby, you're so very fine
You know that I won't stop until I make you mine
Until I make you—

[Outro]
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la18Embed",
